frame;red;green;blue
52;84.8695472685;77.6682262282;64.3568184946
53;88.0318446089;81.4475422833;67.175872093
54;86.6162118564;79.6174216965;66.8096518349
55;84.1227106227;76.8009298394;64.3898281206
56;87.5577315381;80.8353053176;67.092751258
57;87.5344827586;80.3484848485;68.4315569488
58;84.5773809524;77.1370464853;64.9258786848
59;87.6416428669;81.0263837889;67.5288997688
60;87.5131371519;80.415396742;68.415659485
61;84.5540997464;77.6872358411;64.8657368273
62;86.6680755142;79.9628064243;67.2051282051
63;86.7891928865;79.9941176471;68.0678522572
64;84.236404621;77.1408847563;65.3655959425
65;86.5964785683;79.7881368163;66.8838216193
66;86.4329131653;79.4340336134;67.4166666667
67;83.9709153122;77.2788708298;64.3994867408
68;86.5234521576;79.9598787704;65.9673834608
69;86.4245098039;79.524929972;66.6148459384
70;83.4058037771;76.2247812068;62.969599263
71;85.2756150732;78.6954219869;65.2656493304
72;86.6848006645;80.0294850498;67.7246677741
73;83.3046013237;76.2740308856;63.3058619603
74;85.5556077694;78.7091165414;66.2229010025
75;86.9823529412;79.9849354376;67.9774748924
76;84.068997669;76.7895881896;64.4837606838
77;85.4629065041;78.2650745257;65.1969850949
78;86.2612440191;78.8098883573;66.9645933014
79;84.3851526966;76.8614359974;64.0076348278
80;85.450408998;79.0512951602;65.4395023858
81;86.0413717162;79.5403492213;68.1324524147
82;83.7172172172;76.9399399399;64.972305639
83;86.0458457464;79.3083416087;66.9419066534
84;85.6950657895;79.9266447368;66.7592105263
85;82.9436332767;76.7578947368;63.4991511036
86;85.5886075949;79.5669553631;65.0376415723
87;85.656507015;79.2380261248;66.8774391227
88;84.1669473684;76.3332631579;63.3524210526
89;86.6294394523;79.5937098845;64.5853658537
90;85.8079922027;79.3687459389;66.2407407407
91;85.3247619048;77.7461904762;64.1042857143
92;87.617699115;80.6750948167;65.2222503161
93;88.9995258416;82.5386439071;67.5225225225
94;86.4095656954;79.6377130291;64.2600329852
95;89.0585264409;81.4411764706;65.3205585264
96;88.6352638353;81.3685971686;66.7052767053
97;85.6396969697;78.0390909091;64.6057575758
98;85.1008018328;77.6093928981;62.4952271859
99;88.2521416334;80.2824100514;67.3498001142
100;84.2378571429;76.3164285714;62.5307142857
101;84.6315136476;76.9127377998;62.8076923077
102;86.5622119816;78.9984639017;65.4562211982
103;82.5506993007;74.1223776224;61.3479020979
104;86.8502564103;78.8994871795;64.9282051282
105;89.8700882117;83.0970328789;69.1082598236
106;89.7713815789;83.9161184211;68.0674342105
107;102.193181818;100.458333333;79.9886363636
108;96.407239819;93.6719457014;76.7036199095
109;99.34375;99.09375;79.96875
110;None;None;None
111;77.2179487179;69.7564102564;55.141025641
112;74.375;67.025;52.575
113;72.6837606838;69.3504273504;51.0085470085
114;74.0763157895;68.0868421053;56.4289473684
115;73.1759530792;67.7008797654;54.7624633431
116;75.4092953523;69.688155922;58.5652173913
117;78.3459183673;72.9489795918;61.15
118;74.6885856079;69.2481389578;57.8014888337
119;76.2741617357;71.5986193294;58.3570019724
120;78.562037037;73.7805555556;61.6657407407
121;76.2170940171;71.205982906;59.0957264957
122;77.1121212121;72.3233766234;56.3073593074
123;79.3040334855;74.2910958904;59.5681126332
124;77.4046749452;71.9824689554;57.3659605551
125;79.2447971781;74.2335097002;59.0659611993
126;79.9122547205;74.7178822658;61.3609774158
127;77.6245421245;71.0465201465;59.5315018315
128;78.6598124098;72.7384559885;59.2846320346
129;80.049589491;74.1796387521;60.9096880131
130;77.4210722264;71.3149664929;58.2706626955
131;78.9846566935;72.3452243959;59.6003068661
132;80.1384666226;73.7908129544;59.9798413748
133;79.8157142857;73.7075;60.5089285714
134;80.5146141215;74.0515599343;60.4551724138
135;79.371657754;72.300802139;59.3776737968
136;79.2937834225;72.1407085561;59.4996657754
137;84.3205357143;79.2845238095;65.6485119048
138;83.6954248366;78.0450980392;65.4892156863
139;87.917679147;83.6709645425;65.7460947186
140;88.1135631044;83.938755269;65.1061244731
141;90.4123296851;85.6725485816;67.1746705383
142;90.3602089484;85.3999545764;67.2402907109
143;91.992764418;87.0655458608;68.9906363056
144;92.3370929985;86.8965737391;69.4362630347
145;93.8488835726;88.3205741627;70.8165869219
146;92.8512145749;88.3678137652;70.3884615385
147;94.1910840534;89.8140219953;72.1730164965
148;94.6276512176;89.8334642577;72.0031421838
149;95.2833907386;90.2118254879;72.7610026789
150;95.2870638134;89.8324657798;72.8904954694
151;95.5105243016;89.8909299656;74.3340987371
152;95.677956372;89.5470723307;73.8777267509
153;96.6242592593;90.8235185185;75.1459259259
154;96.5356343284;90.5972014925;75.3707089552
155;96.5309200603;90.096907994;76.0248868778
156;97.0246323529;90.5900735294;76.5658088235
157;97.4518426206;91.9620794018;77.1171443831
158;97.6026864616;91.8635560269;77.8810533758
159;97.277919708;91.6483576642;77.5158759124
160;97.2160583942;92.0540145985;77.2145985401
161;97.4167862267;92.725251076;78.2270444763
162;98.0888077859;93.3519290928;79.1114007647
163;96.8518518519;91.0757834758;77.3477682811
164;96.7735992403;91.1773979107;77.3318138651
165;97.6174074074;92.5248148148;78.3144444444
166;97.6948148148;92.3688888889;78.6466666667
167;97.6907882241;91.6752136752;78.0592592593
168;97.3291547958;92.0336182336;78.0864197531
169;97.047008547;91.7665112665;76.6860916861
170;97.2774243301;91.9221129747;77.003470214
171;97.4805749806;91.9603729604;76.8807303807
172;97.4675602176;91.906954157;77.0914918415
173;97.3860687023;92.3965648855;77.361259542
174;97.8473484848;92.2962121212;77.9547348485
175;98.5357142857;92.8530075188;79.1259398496
176;98.2381578947;92.9310150376;78.682518797
177;97.4063714064;92.4121989122;77.128982129
178;97.6151918257;92.5957200694;77.319066898
179;97.6967792616;92.2537313433;78.3171641791
180;97.6380597015;92.3521209741;78.2910447761
181;98.0072713356;93.2571756602;78.7766934558
182;97.6048703849;92.6944226237;78.5043205027
183;98.9194412553;93.4054726368;79.7617680827
184;98.7156525067;93.2812858783;79.564485266
185;98.1035353535;92.9885392385;78.4209401709
186;98.0695415695;92.9347319347;78.4871794872
187;98.0388461538;92.4096153846;78.5611538462
188;98.1425;92.4748076923;78.8055769231
189;98.0509615385;92.2332692308;78.0332692308
