frame;red;green;blue
51;96.9148025407;93.7204501519;81.4508423088
52;94.7532191981;91.4084723442;77.3094088382
53;97.3220155709;94.2565599769;79.8335495963
54;96.9835565115;93.7624366891;80.776590578
55;94.9717839375;91.6984363895;78.5181947406
56;97.8073529412;94.7420868347;81.0883053221
57;97.4711908691;93.9918179318;81.7165154015
58;94.3171067738;90.4191350938;76.5495598928
59;97.3490292669;94.2786148942;80.2351492321
60;97.221182266;93.7398311049;81.2779028853
61;94.4631298951;91.1802866854;77.3140239397
62;96.953334304;93.8924723355;80.2398806057
63;96.8103745157;93.559979911;80.8740852346
64;94.5813191613;91.1247087944;78.1666423995
65;97.3048500502;94.1756349548;80.477902138
66;96.9729137199;93.591301273;81.2640028289
67;94.3144672676;91.0744790897;77.6466676518
68;96.813213345;93.8029704419;79.3680860404
69;97.0893390192;93.7405828003;80.6820895522
70;94.2850821271;90.7347933698;76.5206630166
71;96.5222417325;93.9514193737;79.1056482294
72;97.0820092972;94.1742177201;81.3367099147
73;94.3577205882;91.2683088235;76.9436029412
74;96.8017881606;94.0256687577;79.6482082342
75;97.8464733115;94.6893382353;82.0061955338
76;95.5313160226;92.6899066312;79.124650719
77;97.7316891892;95.3275;80.8448648649
78;99.1842833093;96.758958634;84.049001924
79;96.0207126207;92.8983682984;78.8191808192
80;98.6462585034;96.8839285714;82.3292031098
81;99.1547069682;97.4408167974;84.7736502077
82;97.0580811032;95.0622881851;81.5117447704
83;98.9424179722;96.9488619568;83.1280520248
84;99.1713525396;97.7520536851;84.216938563
85;96.2302476237;94.6805109887;80.7539504753
86;97.9534501643;96.808202507;81.7969453572
87;98.8807423531;97.4603047314;84.6541413679
88;96.3512643938;94.9784940167;81.7933506435
89;97.2284162896;96.0009653092;81.8569532428
90;100.083456571;99.2099477472;86.7674258109
91;96.8991345397;95.9643849987;82.5804878049
92;95.5225172837;94.9658202494;78.9061833689
93;98.167340472;97.6262565559;83.9311079545
94;96.2124434389;95.7465497738;81.0035067873
95;97.592202381;96.4157738095;81.6691071429
96;98.739739229;97.7363378685;84.5565192744
97;95.7837853774;94.5019457547;80.8017099057
98;96.7491105386;96.0901729849;81.044534413
99;98.7059918754;97.6360302415;84.7584631009
100;95.5357016614;95.0034759043;81.2842582774
101;96.3227106227;96.3087912088;81.0557997558
102;97.8802189122;97.8673549989;84.3553938163
103;95.1264769222;94.6122460858;81.0380071009
104;88.6069478908;85.6033498759;69.3843672457
105;98.9373487194;99.3402758232;86.1067267098
106;91.400260104;90.1965786315;74.3578431373
107;92.6406299213;91.3009448819;72.1598425197
108;95.0429675885;93.1699375558;76.3438893845
109;88.4295568562;85.5800585284;67.4362458194
110;86.2278911565;82.4472789116;63.808106576
