frame;x;y
517;960;675
518;960;676
519;952;676
520;952;676
521;944;676
522;944;676
523;938;676
524;938;676
525;931;677
526;931;677
527;924;677
528;924;677
529;918;678
530;917;678
531;911;679
532;911;679
533;904;680
534;904;680
535;899;681
536;899;681
537;893;682
538;892;683
539;886;684
540;886;684
541;879;685
542;878;686
543;874;686
544;874;686
545;868;687
546;867;688
547;862;689
548;862;689
549;857;690
550;857;690
551;852;692
552;852;692
553;848;693
554;848;693
555;844;695
556;844;695
557;842;696
558;842;696
559;837;698
560;837;698
561;828;698
562;827;698
563;817;695
564;818;695
565;811;693
566;811;693
567;802;691
568;801;691
569;794;689
570;793;689
571;787;688
572;787;688
573;779;686
574;779;687
575;774;685
576;774;685
577;769;682
578;768;682
579;765;681
580;765;681
581;762;681
582;762;681
583;760;683
584;760;682
585;758;683
586;758;683
587;756;684
588;755;684
589;754;682
590;754;682
591;746;678
592;746;678
593;744;674
594;743;674
595;742;670
596;742;670
597;741;667
598;740;664
599;741;663
600;741;663
601;745;654
602;745;654
603;746;653
604;746;653
605;749;652
606;749;652
607;752;650
608;752;650
609;755;650
610;755;650
611;757;649
612;757;649
613;760;649
614;760;649
615;762;649
616;763;649
617;765;649
618;765;649
619;767;649
620;767;649
621;769;650
622;769;650
623;771;650
624;771;650
625;773;651
626;773;651
627;775;652
628;775;652
629;788;646
630;789;647
631;797;645
632;797;645
633;800;641
634;800;641
635;803;638
636;803;639
637;815;635
638;815;635
639;827;635
640;828;635
641;837;634
642;838;634
643;846;634
644;846;634
645;853;634
646;853;634
647;861;634
648;861;634
649;865;635
650;866;634
651;873;635
652;873;635
653;880;636
654;880;636
655;884;637
656;885;637
657;890;638
658;891;638
659;894;638
660;893;638
661;900;639
662;900;639
663;904;640
664;907;641
665;912;642
666;912;642
667;916;643
668;916;643
669;920;644
670;921;644
671;925;645
672;925;645
673;929;647
674;929;647
675;932;648
676;932;648
677;938;650
678;938;650
679;940;652
680;940;652
681;945;653
682;947;654
683;950;655
684;950;655
685;952;655
686;952;655
687;957;656
688;957;656
689;961;655
690;961;655
691;966;655
692;966;655
693;971;655
694;972;655
695;976;656
696;976;656
697;979;657
698;980;657
699;983;657
700;983;657
701;987;659
702;989;659
703;993;661
704;993;661
705;997;661
706;998;662
707;1001;662
708;1001;662
709;1003;663
710;1004;663
711;1006;664
712;1006;664
713;1006;664
714;1005;663
715;1007;665
716;1007;665
717;1005;665
718;1005;665
719;1003;666
720;1003;666
721;1002;668
722;1002;668
723;1000;668
724;999;668
725;996;667
726;996;667
727;995;667
728;995;667
729;993;667
730;993;667
731;991;667
732;991;667
733;987;667
734;987;667
735;985;667
736;985;667
737;982;668
738;982;668
739;980;669
740;980;669
741;976;671
742;976;670
743;973;671
744;973;671
745;970;673
746;969;673
747;969;674
748;969;674
749;964;676
750;964;676
751;962;677
752;962;677
753;959;679
754;958;679
755;956;681
756;956;681
757;951;683
758;951;682
759;939;683
760;939;683
761;932;684
762;932;684
763;926;683
764;926;683
765;922;682
766;922;682
767;915;680
768;915;680
769;905;680
770;906;679
771;896;679
772;896;679
773;888;679
774;887;679
775;880;679
776;880;679
777;872;679
778;872;679
779;865;679
780;864;679
781;858;680
782;858;680
783;852;680
784;853;680
785;847;681
786;846;681
787;842;682
788;841;682
789;837;683
790;837;683
791;832;684
792;832;684
793;827;685
794;827;685
795;824;686
796;823;686
797;819;687
798;819;687
799;814;688
800;814;688
801;810;689
802;810;689
803;806;689
804;807;689
805;803;690
806;803;690
807;800;691
808;800;691
809;796;691
810;796;691
811;793;691
812;793;691
813;792;692
814;792;692
815;790;693
816;789;693
817;787;693
818;787;693
819;784;693
820;784;693
821;781;693
822;780;693
823;778;693
824;777;693
825;775;694
826;776;694
827;773;695
828;773;695
829;771;696
830;771;696
831;769;696
832;770;697
833;768;698
834;768;698
835;765;698
836;765;698
837;760;699
838;760;699
839;760;698
840;760;698
841;754;697
842;753;697
843;746;693
844;746;693
845;740;689
846;739;688
847;735;686
848;734;686
849;731;685
850;731;684
851;726;683
852;725;683
853;720;681
854;720;681
855;716;680
856;716;680
857;711;679
858;711;679
859;708;679
860;709;679
861;705;679
862;705;679
863;702;679
864;702;679
865;702;678
866;701;678
867;682;677
868;682;677
869;668;673
870;668;673
871;659;663
872;659;663
873;660;659
874;660;659
875;663;658
876;663;658
877;665;658
878;665;658
879;668;657
880;668;657
881;670;657
882;670;657
883;676;654
884;676;654
885;678;654
886;678;654
887;682;654
888;682;654
889;686;654
890;686;654
891;689;654
892;690;654
893;693;654
894;693;654
895;696;655
896;696;655
897;700;655
898;700;655
899;703;656
900;703;656
901;706;657
902;706;657
903;709;658
904;709;658
905;711;658
906;711;658
907;714;659
908;714;659
909;716;660
910;716;661
911;719;662
912;718;662
913;724;662
914;724;662
915;731;660
916;731;660
917;735;658
918;735;658
919;740;658
920;740;657
921;749;657
922;749;657
923;757;655
924;757;656
925;763;655
926;764;655
927;770;655
928;770;655
929;775;654
930;776;654
931;782;654
932;782;654
933;787;654
934;787;655
935;792;655
936;792;655
937;798;656
938;798;655
939;802;656
940;802;656
941;806;657
942;807;657
943;811;658
944;811;658
945;815;658
946;815;659
947;819;660
948;819;660
949;822;661
950;822;660
951;826;662
952;826;662
953;829;662
954;829;663
955;833;664
956;833;664
957;836;665
958;836;665
959;840;666
960;840;666
961;843;667
962;844;667
963;846;669
964;847;669
965;847;671
966;848;670
967;849;672
968;851;671
969;854;670
970;855;670
971;859;668
972;859;667
973;867;665
974;867;665
